date,city,visa_center,history,raw_history,limit,raw_limit
28 янв 2021,Москва,ВЦ Визаметрик,Полугодовые,виза Германии на пол года,Год и больше,1 год
09 мар 2021,Екатеринбург,ВЦ Визаметрик,Годовые и больше,Годовые чешская и две немецкие,Год и больше,3 года
26 мар 2021,Москва,ВЦ Визаметрик,Годовые и больше,"Испания, 1 год",Год и больше,3 года
19 май 2021,Москва,Визаметрик,Полугодовые,"Чехия полгода, Германия год.",Год и больше,1 год
22 май 2021,Москва,Визаметрик,Нет,Не было виз,Меньше полугода,3 месяца
22 май 2021,Москва,Визаметрик,Меньше полугода,"05(пт), готово было 18.05(вт))4. Германия 3 месяца",Год и больше,1 год
10 июн 2021,Москва,ВЦ Визаметрик,Годовые и больше,"Германия на месяц, год.",Год и больше,Год
23 июн 2021,Калининград,Консульство Германии в Калининграде,Полугодовые,Была польская двухгодичная и много польских до этого,Год и больше,2 года как и просила
11 авг 2021,Москва,ВЦ Визаметрик,Меньше полугода,Германия 3 месяца,Год и больше,Год
27 авг 2021,Москва,ВЦ на Киевской,Годовые и больше,"До этого была 3х летная, немецкая, гостевая.",Год и больше,Дали на 5 лет ( как и просил)
30 авг 2021,Москва,Визаметрик,Нет,Не было виз,Меньше полугода,3 месяца
03 сен 2021,Москва,ВЦ Визаметрик,Полугодовые,"Виза Германия на 3 месяца в пандемию, неиспользованная",Год и больше,1 год (просила на 1 год)
19 сен 2021,Москва,Визаметрик,Годовые и больше,"09.214. Германия, 2-х летняя, гостевая",Год и больше,5 лет
29 сен 2021,Москва,Визаметрик,Полугодовые,Польская рабочая,Год и больше,1 год
18 окт 2021,Новосибирск,Визаметрик,"14_Не пон_08.2021 запросили доп. документы*, оправила, 0","08.2021 запросили доп. документы*, оправила, 0",Даты поездки,На срок поездки
15 ноя 2021,Москва,VisaMetric,Годовые и больше,Испанская виза на 1 год,Год и больше,3 месяца (просила на 1 год)
24 ноя 2021,Москва,Визаметрик,Годовые и больше,"Франция, 5 лет",Год и больше,5 лет
24 ноя 2021,Москва,ВЦ,Годовые и больше,"Италия 2 года, 3 года",Год и больше,1 год ( просил 5 лет)
03 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 1 год",Год и больше,2 года
24 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 3 года",Год и больше,"5 лет, как и просила"
16 мар 2022,Москва,ВЦ Визаметрик,Годовые и больше,Трехлетняя виза Германии,Год и больше,3 года
24 мар 2022,Санкт-Петербург,ВЦ Визаметрик,Полугодовые,"Год финская, полгода итальянская в аннулированном паспорте",Меньше полугода,3 месяца в чистый паспорт
27 мар 2022,Москва,ВЦ Визаметрик,Полугодовые,Полгода итальянская в старом паспорте,Отказ,Отказ по пунктам 2;8
30 мар 2022,Москва,ВЦ,Полугодовые,"Виза С Германия полгода, .Виза С германия год, Виза С Латвия полгода",Год и больше,2 года
06 апр 2022,Москва,ВЦ,Годовые и больше,"Я и муж - двухлетние немецкие, у ребенка годовая немецкая",Отказ,"Мне - 5 лет, мужу - 1 год, ребенку - отказ"
21 апр 2022,Стамбул,Вц,Меньше полугода,"Шенген франции на 6 месяцев и туристическая виза в Болгарию. Но вообще подавала свой старый паспорт, в котором было порядка 5 шенгенов и 1 британская виза",Год и больше,1 год
26 апр 2022,Москва,ВЦ,Годовые и больше,"Германия (под сроки), Греция (под сроки), годовые от Греции и Чехии, Греция (3 года), Греция (2 года, закончилась в сентябре 21 г.)",Год и больше,5 лет (новый паспорт)
29 апр 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 5 лет",Год и больше,5 лет
11 май 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Франция,5 лет.",Год и больше,5 лет
12 май 2022,Москва,Визаметрик,Полугодовые,"Немецкая полугодовая с 1 поездкой в Германию, а потом пандемия.",Год и больше,"На 1 год под запрашиваемые даты, 90 дней."
12 май 2022,Москва.,ВЦ.,Годовые и больше,"4 немецких шенгена ( деловые поездки, туризм, частные визиты) . Последняя- двухлетний немецкий шенген ( паспорт заканчивался ) , действие визы закончилось  в период пандемии",Год и больше,"Просила 5 лет, дали 5 лет под частные визиты/ деловые поездки"
13 май 2022,Новосибирск,ВЦ визаметрик,Годовые и больше,2 немецких трехлетних шенгена,Год и больше,Опять 3 года
03 июн 2022,Калининград,ВЦ визаметрик,Полугодовые,"Польские рабочие, Италия, туризм",Год и больше,5 лет
10 июн 2022,Санкт-Петербург,ВЦ Визаметрик,Нет,Не было раньше виз.,Даты поездки,Под даты поездки
12 июн 2022,Москва,ВЦ визаметрик,Годовые и больше,2-х летний Шенген испании,Год и больше,1 год
15 июн 2022,Екатеринбург,Визовый центр,Годовые и больше,2-летний и годовой немецкие,Год и больше,3 года
21 июн 2022,Москва,ВЦ,Годовые и больше,"годовая чешская, закончилась в ноябре 2019",Год и больше,1 год
23 июн 2022,Москва,ВЦ VISAMETRIC,Годовые и больше,"1 год Нидерланды, 1 год 3 мес Швеция - закончилась в феврале 2021",Год и больше,2 года
24 июн 2022,Санкт-Петербург,ВЦ Визаметрик,Полугодовые,"Год финская и полгода итальянская в аннулированном паспорте, в свежем паспорте три месяца немецкая еще действующая (уже открытая)",Полгода,Полгода
24 июн 2022,Москва,ВЦ,Полугодовые,"За последние 3 года шенгена не было. До этого в одном паспорте полугодовая и годовая Итальянская, в другом Греция на даты поездки",Меньше полугода,90 дней
28 июн 2022,Москва,ВЦ,Годовые и больше,"Германия на 3 месяца, Чехия на 1 год. Обе туристические. Других виз не было вообще.",Год и больше,2 года
29 июн 2022,Новосибирск,ВЦ VisaMetric,Годовые и больше,Германия на 1 год (2019 - 2020). До этого была итальянская под даты,Год и больше,3 года
01 июл 2022,Москва,Визаметрик,Годовые и больше,"Крайняя закончилась в 17 году, подался через 2 недели после отказа венгров.",Полгода,Пол года
06 июл 2022,Калининград,ВЦ,Годовые и больше,4 летний польский шенген,Год и больше,5 лет
07 июл 2022,45 NaN,45 NaN,44_Не пон_45 NaN,45 NaN,44_Не пон_45 NaN,45 NaN
08 июл 2022,Москва,Визаметрик,Нет,Шенген,Меньше полугода,3 месяца (загран пустой)
09 июл 2022,Санк-Петербург,Визаметрик,Полугодовые,"Полгода финский шенген, месяц немецкий",Год и больше,1 год
12 июл 2022,Санкт-Петербург;,Визаметрик;,Полугодовые,Полгода и Год Финский шенген;,Год и больше,1 год;
12 июл 2022,Москва,Визаметрик,Годовые и больше,3 года Греция (до 2020),Год и больше,3 года
12 июл 2022,Москва,Визаметрик,Годовые и больше,1 год Германия (до 11.2020),Год и больше,2 года
12 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,"Крайний шенген был 6 лет назад, в общей совокупности было 3 шенгена под даты от немцев.",Год и больше,1 год
12 июл 2022,Санкт-Петербург,Визаметрик,Меньше полугода,3 месяца эстонский шенген,Отказ,"Отказ (нет уверенности в том, что вы покинете Шенген; представленная информация о целях и условиях запланированного пребывания не была достоверной)."
12 июл 2022,Москва,Визаметрик на Киевской,Годовые и больше,"07, 08.07 пришло смс о готовности.4. Ранее был немецкий шенген на год в 2019-20гг, до этого еще один немецкий же шенген тоже на год.",Год и больше,2 года (просила на 5 лет) в новый загранпаспорт
12 июл 2022,Москва,Визаметрик Киевская,Годовые и больше,Было ранее немецкий шенген на год и шведский шенген на год,Год и больше,1 год. Просил на 3 года.
12 июл 2022,Москва,Визаметрик,Нет,"07 подала, 08.07 пришло смс о готовности)4. Нет. Никогда не было шенгенских виз.",Меньше полугода,На 3 месяца со сроком пребывания 30 дней.
14 июл 2022,Санкт-Петербург,Визаметрик,Нет,Ваша визовая история: никогда не было шенгенских виз,Отказ,Отказ по 10 пункту (Предоставленная информация о цели и условиях запланированной поездки была неубедительной)
14 июл 2022,Калининград,Визаметрик,Полугодовые,"Были старые визы совсем,этот загранник не взяли даже,в другом на полгода и на два,обе польские.",Год и больше,"2 года, просила 5 лет."
14 июл 2022,Москва,Visametric,Полугодовые,"Италия полгода, Германия год, Греция полгода(закончилась в июне)",Год и больше,2 года
14 июл 2022,Москва,Визаметрик,Годовые и больше,Это третий немецкий шенген.,Год и больше,"Год как и просила (больше не позволил паспорт запросить, заканчивается)."
15 июл 2022,Москва,Визаметрик,Годовые и больше,07)4. Это шестой немецкий шенген.,Год и больше,Год как и просила (ранее всегда давали под даты поездки).
15 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,"за последние 3 года была двухлетняя виза, до этого было много на год, на два",Год и больше,2 года
15 июл 2022,Москва,Визаметрик,Годовые и больше,"годовой финский шенген ещё до ковида, греческий на полгода с прошлого октября, закончился вот в марте. Всего за 10 лет 5 шенгенов, включая один немецкий",Год и больше,1 год
16 июл 2022,Москва,Визаметрик,Годовые и больше,"2-летний немецкий шенген по приглашению (с 03.2020 по 03.2022, в Германии по нему не был), до этого годовой немецкий шенген, до этого ещё много более коротких немецких шенгенов",Год и больше,3 года
16 июл 2022,Москва,Визаметрик,Годовые и больше,Визы за последние 3 года: немецкий шенген на 1 год и на 2 года,Год и больше,На какой срок дали визу: 3 года (в новый паспорт)
18 июл 2022,Москва,Визаметрик Киевская,Нет,"Никогда не было Шенг.визы, в феврале был отказ Греции.",Меньше полугода,3 мес. Многократная
18 июл 2022,Москва,Визаметрик,Годовые и больше,"Последняя была правильно откатанная 3х летка немецкая закончилась в марте 20го, у сына последняя короткая португальская, до этого разные на полгода и годовые.",Год и больше,"Всем 5 лет, нам с женой во второй чистый паспорт. Сдавали оба."
18 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,"За последние 3 года была двухлетняя виза Германии, у сына — 1-летняя Германии (сыну 13 лет). До этого у меня была годовая немецкая.",Год и больше,"2 года — сыну, 5 лет — мне"
19 июл 2022,Москва,Визаметрик,Годовые и больше,"1 год Италия, 1 год Германия",Год и больше,2 года
20 июл 2022,Москва,ВЦ Visametric,Годовые и больше,"За последние 3 года была Испания годовая, но была и более старая история шенгенов, включая отказ.",Год и больше,"1 год, просили 3"
20 июл 2022,Москва,Visametric,Годовые и больше,За последние 3 года шенгена не было. Свыше 3х лет - 4 шенгена (от дат поездок до полугода),Меньше полугода,30 дней
20 июл 2022,Москва,Визовый центр. метро Киевская,Полугодовые,"Откатанный Немецкий полугодовой шенген, полученный в 2018 году, Испанский в 2019 - год. - три поездки,можно было и больше, но пандемия.",Год и больше,"2 года мне, год - жене."
21 июл 2022,Москва,визаметрик,Нет,Чистый паспорт,Меньше полугода,Три месяца
22 июл 2022,Екатеринбург,ВЦ Визаметрик,Полугодовые,"Чистый загран, из России ни разу в жизни не выезжал, на получение визы также никуда не подавал",Меньше полугода,8.08 - 31.08 на 9 дней под даты поездки.
22 июл 2022,Москва,Визаметрик,Меньше полугода,Германия 3 мес. и Нидерланды 6 мес.,Год и больше,1 год. Многократная
22 июл 2022,Екатеринбург.,ВЦ Визаметрик.,Годовые и больше,2летняя виза от Чехии.,Меньше полугода,На 14 дней в течение месяца.
25 июл 2022,Москва,Визаметрик,"Паспорт кончается, удалить строку","Паспорт кончается, удалить строку","Паспорт кончается, удалить строку","Паспорт кончается, удалить строку"
25 июл 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Ваша визовая история: 3 мес. шенген Германия, 6 месяцев- Италия, 1 год - Италия, 1 год -Италия",Год и больше,2 года
25 июл 2022,Москва,Визаметрик,Годовые и больше,"Визовая история - Шенген на 3 года, выдан Литвой, закончился 15 июля 2022",Год и больше,"2 года с 5 августа, как и просила, потому что паспорт заканчивается в июне 2025, так бы просила 5 лет"
25 июл 2022,Москва,Визаметрик,Годовые и больше,"У меня венгерский годовой шенген, закончился в 2020-м, у дочери венгерская под даты",Год и больше,"И мне, и дочери на 1 год. Просили дочери на год, мне на 3 (у меня раньше были 2-годовые, правда не немецкие)"
26 июл 2022,Калининград,ВЦ Визаметрик,Годовые и больше,"Визовая история: последняя греческая 6 мес. (не откатана), перед этим 2-х летняя Польская",Год и больше,2 года
26 июл 2022,Калининград,ВЦ Визаметрик,Годовые и больше,2 шенгена от Эстонии на 1 и 2 года,Год и больше,1 год и 8 месяцев
27 июл 2022,Москва,ВЦ Визаметрик,Годовые и больше,за 3 года - венгерская под даты и британская,Меньше полугода,"3 месяца, пребывание 30 дней"
27 июл 2022,Москва,ВЦ Визаметрик,Не понять,Греческая и испанская визы,Год и больше,На 1 год
28 июл 2022,Санкт-Петербург,ВЦ Визаметрик,Годовые и больше,Немецкая виза 1 год (2020-2021),Год и больше,2 года
28 июл 2022,Екатеринбург,ВЦ Визаметрик,Годовые и больше,"Подавали вдвоем. 1) Испания 17-18, Эстония 19-20, пара эстонских виз D. 2) Немецкая 3-летняя, Эстония 6мес 22г., старее 3х лет несколько 3-летних немецких шенгенов.",Год и больше,Обе визы 1 год мульти
28 июл 2022,Санкт-Петербург,ВЦ Визаметрик,Полугодовые,"Две полугодовых финских визы, одна итальянская",Даты поездки,Под даты поездки
29 июл 2022,Новосибирск,ВЦ Визаметрик,Полугодовые,"Продавались вдвоём. За последние 3 года: Италия - под даты, Германия - годовая, Греция - полгода. Много штампов из постсоветских стран.",Год и больше,"Двоим на 2 года,как и просили."
29 июл 2022,Москва,ВЦ,Полугодовые,"Чехия полгода, две годовые Германии",Год и больше,2 года
29 июл 2022,Екатеринбург,ВЦ визаметрик,Полугодовые,"Подали 22.07., получили 29.07",Год и больше,2 года
29 июл 2022,Москва,ВЦ,Годовые и больше,"Италия 1 год, Италия 2 года",Год и больше,2 года
30 июл 2022,Екатеринбург,ВЦ,Годовые и больше,"Чехия 3 года, Испания 2 года, много других виз Франция, Нидерланды, Германия, Италия",90_Не пон_07 - 2,07 - 2
03 авг 2022,Екатеринбург,ВЦ визаметрик,Полугодовые,Греческие 1 год и полгода. до этого франция год,Год и больше,1 год
03 авг 2022,93 NaN,93 NaN,92_Не пон_93 NaN,93 NaN,92_Не пон_93 NaN,93 NaN
03 авг 2022,Москва,Визаметрик,Полугодовые,"Паспорт новый и чистый, ибо в старом закончились страницы. В старых двух 7-8 немецких шенгенов (первые под сроки, 4-5 мультиков), 4 совсем старых датских (три под сроки, один полгода), 2 финских (под сроки и 2 года - последний перед ковидом, потом 2,5 года не ездила в Европу)",Полгода,"Просила один год, получила два"
04 авг 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Была годовая немецкая для посещения родственников, истекла в 2020.",Год и больше,Дали на год
04 авг 2022,Санкт-Петербург,ВЦ,Годовые и больше,Эстония 3 года,Год и больше,1 год
05 авг 2022,Москва,Визаметрик,Годовые и больше,08.22)4. Визовая история: последняя двухгодичная чешская виза закончилась в 2020 году. До этого тоже были длительные чешские шенгены. Все правильно откатаны. Визовая история длинная. Все визы в старом паспорте. Делал копии и приносила старый паспорт в Визаметрик.,Год и больше,2 года
05 авг 2022,Москва,ВЦ,97_Не пон_несколько,несколько,Год и больше,1 год
05 авг 2022,Москва,"ВЦ Визаметрик (в день подачи провели там от получения талончика на очередь, сдачи отпечатков и до оплаты услуг 4 часа)",Годовые и больше,"08 пришло сообщение о готовности в 15:20, забрали  0",Год и больше,Дали на 1 год
05 авг 2022,Москва,ВЦ,Полугодовые,"08 забрали)4. У меня полгода и год греческие шенгены, год итальянский; у супруга три годовых - немецкий, итальянских, греческий",Год и больше,"2 года в новый второй паспорт (прилагали копию первого и сопроводительное письмо о том, что оригинал в посольстве Ирландии)"
06 авг 2022,СПб,Визаметрик,Годовые и больше,Немецкие 2 на 2 года,Год и больше,3 года
06 авг 2022,Калининград,Визаметрик,Годовые и больше,Чистый паспорт (было 5-летнее ВНЖ до этого),Год и больше,5 лет
08 авг 2022,Новосибирск,Визаметрик,Меньше полугода,"одна краткосрочная немецкая С, посещение друзей, под даты",Год и больше,"год, как просила"
09 авг 2022,104 NaN,104 NaN,103_Не пон_104 NaN,104 NaN,103_Не пон_104 NaN,104 NaN
09 авг 2022,Москва,Визаметрик,Годовые и больше,"08 - забрала паспорт сегодня 09.08 4. Чехия под даты, испанская годовая, годовая немецкая и двухлетняя немецкая, полученная перед локдауном (никуда по ней не ездила)",Год и больше,"Просила на 4 года, дали на 3"
09 авг 2022,Москва,Визаметрик,Годовые и больше,"08 - забрал паспорт сегодня 09.084. Немецкая на 3 года, ранее немецкие по 1 году.",Год и больше,"Просил на 3 года, дали на 3, дочери просил на 5 лет, дали на 3. Мужу дочери на даты поездки т.к. первый шенген."
09 авг 2022,Екатеринбург,Визаметрик,Полугодовые,Полгода,Полгода,"Просили год. У меня 2 немецкие короткие, 1 итальянская тоже короткая, месяц. У мужа итальянская месяц."
10 авг 2022,Москва,Визаметрик,Полугодовые,"Венгрия год, Бельгия полгода",Год и больше,"5 лет, как и просила"
10 авг 2022,СПб,Визаметрик,Годовые и больше,"Финские 2-3 по 2 года, но раз 4-5 ездили в Германию",Год и больше,2 года
11 авг 2022,110 NaN,110 NaN,Даты поездки,Был шенген под даты поездки Норвегии+более древние.всего виз 5,Год и больше,Год
12 авг 2022,Екатеринбург,Визаметрик,Даты поездки,"2013 г. Чехия (под даты поездки), 2015 г. Великобритания (тогда еще член Евросоюза), 2017 г. Венгрия (под даты поездки)",Меньше полугода,3 месяца
12 авг 2022,Калининград,Визаметрик,Годовые и больше,"2019 Испания 1 год, 2020 Испания 2 года (не открытые по объективным причинам)",Меньше полугода,"1,5 месяца (до 01 октября 2022) - первый раз за все время дали на такой срок , полный ахтунг!"
12 авг 2022,113 NaN,113 NaN,112_Не пон_113 NaN,113 NaN,112_Не пон_113 NaN,113 NaN
15 авг 2022,Екатеринбург,Визаметрик,Полугодовые,Чехия на месяц в марте 2020 неиспользованная,Меньше полугода,45 дней
15 авг 2022,Москва,Визаметрик,Годовые и больше,"2018 Испания 1 год, 2019 Германия 1 год, 2022 Греция под даты поездки (корона) все визы откатаны",Год и больше,2 года
15 авг 2022,Москва,ВЦ,Нет,"08, смс пришла 9.08 утром4.Шенгена у обеих никогда не было, как и выездов за рубеж",Полгода,"Тёте под даты поездки, на 17 дней, бабушке на полгода, просила обеим на год"
16 авг 2022,Москва,ВЦ,Годовые и больше,"У мамы было 2 голландских визы на 5 и 3 года, последняя истекла в июне (ездила ко мне в голландию постоянно по приглашениям, сейчас голл визы не дают, поэтому пошли к немцам)",Год и больше,"Дали на 3 года, просили  на 2."
16 авг 2022,Москва,ВЦ Visametric на Киевской,Годовые и больше,"Посдений Шенген - Греция на 1 год, до того Франция на два года",Год и больше,"08 во второй половине дня, 1"
16 авг 2022,Екатеринбург,Визаметрик,118_Не пон_0,0,Даты поездки,"Даты поездки, 15"
16 авг 2022,Москва,Визаметрик на Киевской,Полугодовые,"греческая виза на 19 дней (получила в январе 2022), также был отказ от немцев в 2019 году",Год и больше,на год
17 авг 2022,Москва,ВЦ Visametric на Киевской,Даты поездки,Посдений Шенген - Австрия на даты поездки (паспорт до 20/11/2023),Полгода,полгода (мульти)
18 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,"Последний Шенген 1 год Испанский, была по нему в Италии, в Испанию не успела из-за короны, прикладывала оплаченные сгоревшие билеты в Барселону как подтверждение намерения посетить Испанию. Перед этим полугодовой греческий, по правилам откатанный.",Даты поездки,"Даты поездки, 15 дней"
19 авг 2022,Москва,Visametric на Киевской,Полугодовые,"Последний Шенген - полгода латышский (необкатанный, изза начавшейся пандемии), до этого полгода - латышский в 2019, полгода немецкий в 2018.",Полгода,Полгода
19 авг 2022,Москва,ВЦ Visametric на Киевской,Полугодовые,Шенгенских виз никогда не было. Подавалась после отказа от шведов (отказ получен 08.08),Меньше полугода,30 дней мульти
19 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,"Германия 3 мес. в 2019, Греция 1 мес. и полгода 10 лет назад",Полгода,Полгода (просила на 3 года)
19 авг 2022,Москва,Визаметрик,Годовые и больше,"Было несколько шенгенских виз, выданные ФРГ. Приглашение от меня ( в свободной форме). Последняя шенгенская виза на 5 лет.",Год и больше,"Папе на 3 года, маме на 2 года"
23 авг 2022,Москва,ВЦ,Полугодовые,"много виз, но показала только из нового паспорта, там две: немецкая на 1 год в 2020 и греческая на пол года в 2021",Год и больше,2 года
23 авг 2022,Калининград,ВЦ,Годовые и больше,"Из последнего - Латвийская виза под срок паспорта (почти 3 года), до этого Латвийский ВНЖ (тоже приложила). Не сунулась бы к немцам, но латыши передумали нам визы давать..",Год и больше,1 год
23 авг 2022,Санкт-Петербург,Визаметрик,Меньше полугода,"В новом паспорте Эстония под даты поездки (2022) + ОТКАЗ в финской визе в июле 2022, за 3 недели до подачи. В старом паспорте финский шенген 6 мес (2019) и эстонский 6 мес (2020)",Меньше полугода,3 месяца мульти 90 дней
23 авг 2022,Калининград,Визаметрик,Годовые и больше,"Последние три визы: Германия 2 года, Польша 2 года, Франция 3 года",Год и больше,"3 года/ дочери студентке тоже 3 года( последние визы Германия, Польша, Польша все по 2 года)"
23 авг 2022,Москва,ВЦ,Годовые и больше,В 2019 была латвийская на год с небольшим (под окончание паспортов),Год и больше,5 лет
24 авг 2022,Москва,ВЦ,Меньше полугода,В 2019 немецкая 3-месячная,Год и больше,1 год
24 авг 2022,Москва,"Визаметрик, Киевская",Годовые и больше,"Германия: 1 месяц, 3 месяца, 3 месяца, 5 лет (закончилась в 2019)",Год и больше,"5 лет в чистый паспорт, также супруге"
24 авг 2022,Москва,ВЦ Визаметрик на Киевской,Годовые и больше,"Латвия 2 года, Греция - 6 мес, Греция - 10 дн. Немецких виз не было",Год и больше,1 год ( семья всем троим)
24 авг 2022,Москва,Визаметрик,Годовые и больше,3 подряд шенгена на 2 года (Нидерланды - Испания - Испания),Год и больше,3 года
24 авг 2022,Москва,ВЦ Киевский,Годовые и больше,Испанский шенген на 30 дней почти 3 года назад,Год и больше,"Маме на год, ребёнку на полгода (подавались мама с ребёнком 3 года)"
24 авг 2022,Москва,ВЦ Киевский,Годовые и больше,"Германия 3 года, заканчивается сейчас.",Год и больше,5 лет
24 авг 2022,Москва,ВЦ,Полугодовые,"08 утром)4. много виз, из последних немецкая на 1 год в 2020 и греческая на пол года в 2021",Год и больше,"2 года (запрашивала тоже на 2 года, тк потом паспорт истечёт)"
25 авг 2022,Москва,ВЦ,Даты поездки,08 паспорта были в ВЦ)4. Подавались вдвоем: у меня латвийская на даты поездки в 2018 и финская мульти в 2018; у парня виз не было,Меньше полугода,3 месяца (обоим)
25 авг 2022,Москва,ВЦ,Полугодовые,08 смс о готовности4. Впервые подавала документы и получила шенгенскую визу,Меньше полугода,5 месяцев (почему-то с 01.09.22 по 01.02.23)
26 авг 2022,Екатеринбург,Визаметрик,140_Не пон_08 пришло оповещение (выезд планировался 2,08 пришло оповещение (выезд планировался 2,140_Не пон_141 NaN,141 NaN
26 авг 2022,Москва,Визаметрик,Годовые и больше,"в паспорте 7 шенгенских виз, последние немецкая год и Венгрия под даты (ковид)",Год и больше,год
26 авг 2022,Москва,Визаметрик,Годовые и больше,"Новый чистый паспорт, в предыдущем паспорте немецкие визы: 1 год 2 шт., 2 года, 5 лет (все деловые визы)",Год и больше,"5 лет, как и запрашивал"
26 авг 2022,Москва,Визаметрик,Полугодовые,До этого была единственная французская виза на 6 месяцев. В июне 2022 получила отказ от французов.,Год и больше,2  года. В анкете просила на 1 год.
26 авг 2022,Москва,Визаметрик,Годовые и больше,"Чехия под поездку, Испания 1 год","144_Не пон_08, выдача 2","08, выдача 2"
28 авг 2022,Москва,ВЦ,Годовые и больше,"Италия 2 года, откатанная, закончилась в ноябре 2021",Год и больше,"5 лет, как и просила"
28 авг 2022,Москва,ВЦ Visametric,Годовые и больше,"Шенген во Францию на 2 года с 2018г. Ранее было несколько разных шенгенов, в Германию не было.",Год и больше,5 лет
29 авг 2022,Екатеринбург,ВЦ Visametric,Даты поездки,"У меня Австрия на даты поездки, у молодого человека пустой паспорт",Даты поездки,Даты поездки
29 авг 2022,Москва,Визаметрик,Даты поездки,"В паспорте 4 шенгенские визы, среди них 1 Германия на даты поездки в 2018 г., последняя Венгрия под даты в октябре 2021 г.",Год и больше,Год (просила на три)
30 авг 2022,Москва,ВЦ Visametric,Меньше полугода,"08 подал документы, 29.08 уведомление о готовности (3 рабочих дня)4. Эстонский шенген в 2019 на 6 месяцев с поездкой по Прибалтике и второй поездкой в Италию",Год и больше,1 год
31 авг 2022,Москва,ВЦ Visametric,Годовые и больше,"08 подала документы, 29.08 уведомление о готовности (3 рабочих дня), сегодня забрала 4. Немецкий шенген в 2019 на 3 месяца и 30 дней пребывания.",Год и больше,"1 год, запрашивала также на год"
31 авг 2022,Москва,ВЦ Visametric,Годовые и больше,"Шенген (Германия) - 5 лет, 4 года (по сроку паспорта)",Год и больше,5 лет (как просила)
31 авг 2022,Москва,Визаметрик,Годовые и больше,"3 испанских визы 6 мес, 1 и 2 года",Год и больше,"3 года, запрашивали 2"
31 авг 2022,Калининград,ВЦ,Годовые и больше,4 летняя немецкая туристическая,Год и больше,5 лет
31 авг 2022,Москва,ВЦ Visametric,Даты поездки,"Новый паспорт с венгерской визой под даты поездки в 2021, в старом паспорте были другие шенгенские визы.",Год и больше,"1 год (мульт), просили 5"
